name,plz
Burladingen,72393
Wernau (Neckar),73249
Hagenow,19230
Laichingen,89150
Steinheim an der Murr,71711
Ladenburg,68526
Ludwigslust,19288
Dinkelsbühl,91550
Maxhütte-Haidhof,93142
Perleberg,19348
Osterhofen,94486
Wolgast,17438
Erkner,15537
Zwönitz,08297
Neustadt in Sachsen,01844
Leingarten,74211
Lauffen am Neckar,74348
Pritzwalk,16928
Hemsbach,69502
Oestrich-Winkel,65375
Hauzenberg,94051
Neuenrade,58809
Hildburghausen,98646
Pößneck,07381
Monschau,52156
Lauenburg/ Elbe,21481
Bopfingen,73441
Drolshagen,57489
Walldürn,74731
Lindenberg i.Allgäu,88161
Geisenfeld,85290
Ebersbach-Neugersdorf,02730
Billerbeck,48727
Geisenheim,65366
Coswig (Anhalt),06869
Miesbach,83714
Schwaigern,74193
Gräfenhainichen,06773
Wittingen,29378
Bad Dürrenberg,06231
Wolmirstedt,39326
Trostberg,83308
Marktheidenfeld,97828
Bad Schwalbach,65307
Ochsenfurt,97199
Rheinau,77866
Mülheim-Kärlich,56218
Rothenburg ob der Tauber,91541
Welzheim,73642
Bad Nenndorf,31542
Stollberg/Erzgeb.,09366
Herbolzheim,79336
Lauingen (Donau),89415
Schöningen,38364
Werther (Westf.),33824
Engen,78234
Balve,58802
Diez,65582
Bad Belzig,14806
Osterwieck,38835
Braunfels,35619
Lichtenstein/Sa.,09350
Gengenbach,77723
Lorch,73547
Isselburg,46419
Oelsnitz/Erzgeb.,09376
Waldkirchen,94065
Regen,94209
Hammelburg,97762
Wildau,15745
Haigerloch,72401
Rutesheim,71277
Altensteig,72213
Donzdorf,73072
Gernsheim,64579
Meßstetten,72469
Rüthen,59602
Riedlingen,88499
Glückstadt,25348
Gronau (Leine),31028
Boizenburg/ Elbe,19258
Lichtenau,33165
Langenzenn,90579
Eisenberg,07607
Schleusingen,98553
Steinbach (Taunus),61449
Felsberg,34587
Bischofswerda,01877
Kenzingen,79341
Olbernhau,09526
Bad Iburg,49186
Tangerhütte,39517
Barmstedt,25355
Bad Staffelstein,96231
Flöha,09557
Büdelsdorf,24782
Gommern,39245
Nossen,01683
Grevesmühlen,23936
Burgstädt,09217
Braunsbedra,06242
Bad Wildbad,75323
Dissen am Teutoburger Wald,49201
Neuenhaus,49828
Tangermünde,39590
Nieder-Olm,55268
Demmin,17109
Bad Orb,63619
Querfurt,06268
Lollar,35457
Wildberg,72218
Endingen am Kaiserstuhl,79346
Bad Lauterberg im Harz,37431
Burgau,89331
Aulendorf,88326
Weilheim an der Teck,73235
Werlte,49757
Erlenbach a.Main,63906
Steinau an der Straße,36396
Neuenstadt am Kocher,74196
Nideggen,52385
Oberzent,64760
Neustadt (Hessen),35279
Süßen,73079
Niebüll,25899
Bleicherode,99752
Bogen,94327
Simbach a.Inn,84359
Rehburg-Loccum,31547
Blumberg,78176
Betzdorf,57518
Münchberg,95213
Gemünden a.Main,97737
Schotten,63679
Beilngries,92339
Oelsnitz/Vogtl.,08606
Wahlstedt,23812
Friedrichsthal,66299
Bad Frankenhausen/Kyffhäuser,06567
Niddatal,61194
Rüdesheim am Rhein,65385
Aichtal,72631
Meuselwitz,04610
Heubach,73540
Oldenburg in Holstein,23758
Oberharz am Brocken,38875
Bad König,64732
Mengen,88512
Pasewalk,17309
Heilsbronn,91560
Gudensberg,34281
Wettin-Löbejün,06193
Bad Ems,56130
Trebbin,14959
